name,win,linux,mac,author,description
You Cannot Kill Me in a Way That Matters,f,f,f,Deus Ex Minima,A rogue-like fantasy solitaire. Defeat monsters. Level up. Transcend.
What Crooked Roots for 5e,f,f,f,Cassi Mothwin,15 Folk-Horror Roleplay Encounters to Unsettle and Terrify
Superstition,f,f,f,Albi13,"You are an oracle, a greenseer, and a fraud. Superstition is a ""ritual-creating"" solo journaling rpg."
What's So Rotten About Zombies Defending An Ancient Temple,f,f,f,Stuart Watkinson,Play as the rotten zombies defending your temple
Pale Cachexia,t,t,t,Argent Games,"A Gothic fantasy tale of loneliness, dark secrets, and the search for a cure."
Humble Fonts - Gold,f,f,f,somepx,a collection of pixel fonts
The perpetual broth,f,f,f,IKO,A short adventure Pop-Up zine for DURF
Beloved,f,f,f,Urania Games,A solo journaling game about playing a beloved childhood toy.
Forget-Me-Not: Myosotis,f,f,f,Asmus/Kinas,Create characters from the memories they left behind.
The Third Sector,f,f,f,Ian Yusem,A Mothership Sandbox Campaign
10mg: SNAAAK,t,t,t,Clovelt,
THE MARTIAL CULT of BLOOD KNIGHT GAIUS,f,f,f,CLAYMORE,an OSR module about honorable vampires
The Rot King's Sanctum,f,f,f,Emiel Boven,An OSR-style  dungeon module  for levels 1-3
Pumpkin Eater,t,t,t,thugzilla,"A visual novel about grief, pumpkin heads, and human decomposition. 100% medically accurate."
Bleak Spirit,f,f,f,potatocubed,"A tabletop RPG of a lone wanderer in a strange, melancholy place."
Pixel Fireplace,t,t,t,Ted Martens,"Type commands, roast marshmallows, throw logs onto a crackling fire. Enjoy"
Antecryptâ¡,t,f,f,PUNKCAKE DÃ©licieux ð¥,single-stick arena shooter on mankind's last hard drive
May Project Na Naman Si Kapitan?,f,f,f,John Erwin,A micro-rpg analog game about concerned citizens investigating a dubious local project
Hypnagogia ç¡éã®å¤¢ Boundless Dreams,t,f,f,sodaraptor,A wonderous world of dreams awaits you.
Yourself,f,f,f,K-Ramstack,A solo ttrpg of identity and self reflection
The Drain,f,f,f,Ian Yusem,An Occult Mothership Funnel
1-6 Oozes in the Dark,f,f,f,Deus Ex Minima,A print-and-play micro-module for 5e
Sophie's Safecracking Simulator,t,t,t,Sophie Houlden,Crack locks using real safecracking techniques!
Where Magic Died,f,f,f,Sascha Moros,"A 3 page game of belonging outside belonging, dead magic and a tower"
A History of Moments,f,f,f,archive15,A game of collaborative storytelling where you dive into the history of your character.
Sweaters by Hedgehog,f,f,f,Haunted Oak Press,A solo journaling game about a little hedgehog person trying to sell your little sweaters in your little village shop.
A Man on the Road,f,f,f,Ian Yusem,An encounter with a horrible bastard
The Lay Of Our Land,f,f,f,Armanda,"A solo journaling game about the ephemeral things in life and in the world, based on Lost and Found SRD"
Sokobond,t,f,t,Draknek & Friends,Logical. Minimalist. Beautiful.
Haque,t,t,t,Superâ´Try,/hak/ Fight cute monsters! Avoid death! Save the Game
Pipe Push Paradise,t,t,t,Corey Martin,A difficult puzzle game about plumbing.
The Lost Night,t,t,t,[AFK] Mario Carballo,A small spooky themed RPG
Can Androids Pray: Red,t,f,t,Natalie Clayton,Angry femme mech pilots at the end of the world.
Starlight Shores,t,t,t,TidalBlossoms,Wish on shooting stars while you enjoy a weekend getaway at the beach!
Hyperspace Dogfights,t,t,f,sleeper_games,"Jet-combat roguelite, occasionally with swords and 300+ other items to strap onto your jet."
